"Site Crawled","https://vacationdeals.to/"
"Start Date","2026-04-21"
"Start Time","21:14:51"
"Last Modified Date","2026-04-21"
"Last Modified Time","21:17:26"
"Elapsed","00:02:33"
"Report Date","2026-04-21"
"Report Time","21:18:09"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","1513","100.00%","1513","URLs Encountered"
"Total URLs Crawled","1513","100.00%","1513","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","1513","URLs Encountered"
"Total External blocked by robots.txt","0","0.00%","1513","URLs Encountered"
""
"URLs Displayed","1513","100.00%","1513","URLs Displayed"
"Total Internal URLs","1508","99.67%","1513","URLs Displayed"
"Total External URLs","5","0.33%","1513","URLs Displayed"
"Total Internal Indexable URLs","1403","92.73%","1513","URLs Displayed"
"Total Internal Non-Indexable URLs","105","6.94%","1513","URLs Displayed"
""
"Internal"
"All","1508","100.00%","1508","Internal URLs"
"HTML","1478","98.01%","1508","Internal URLs"
"JavaScript","29","1.92%","1508","Internal URLs"
"CSS","1","0.07%","1508","Internal URLs"
"Images","0","0.00%","1508","Internal URLs"
"Media","0","0.00%","1508","Internal URLs"
"Fonts","0","0.00%","1508","Internal URLs"
"XML","0","0.00%","1508","Internal URLs"
"PDF","0","0.00%","1508","Internal URLs"
"Plugins","0","0.00%","1508","Internal URLs"
"Other","0","0.00%","1508","Internal URLs"
"Unknown","0","0.00%","1508","Internal URLs"
""
"External"
"All","5","100.00%","5","External URLs"
"HTML","3","60.00%","5","External URLs"
"JavaScript","0","0.00%","5","External URLs"
"CSS","0","0.00%","5","External URLs"
"Images","0","0.00%","5","External URLs"
"Media","0","0.00%","5","External URLs"
"Fonts","0","0.00%","5","External URLs"
"XML","0","0.00%","5","External URLs"
"PDF","0","0.00%","5","External URLs"
"Plugins","0","0.00%","5","External URLs"
"Other","2","40.00%","5","External URLs"
"Unknown","0","0.00%","5","External URLs"
""
"Security"
"All","1508","100.00%","1508","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","1508","All internal and non-HTML external URLs"
"HTTPS URLs","1508","100.00%","1508","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","1508","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","1508","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","1508","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","0","0.00%","1508","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","1508","All internal and non-HTML external URLs"
"Missing HSTS Header","1474","97.75%","1508","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","1474","97.75%","1508","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","1474","97.75%","1508","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","1474","97.75%","1508","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","1474","97.75%","1508","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","1508","All internal and non-HTML external URLs"
""
"Response Codes"
"All","1513","100.00%","1513","All Internal & External Crawled URLs"
"Blocked by Robots.txt","0","0.00%","1513","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","1513","All Internal & External Crawled URLs"
"No Response","0","0.00%","1513","All Internal & External Crawled URLs"
"Success (2xx)","1476","97.55%","1513","All Internal & External Crawled URLs"
"Redirection (3xx)","33","2.18%","1513","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","1513","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","1513","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","1513","All Internal & External Crawled URLs"
"Client Error (4xx)","4","0.26%","1513","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","1513","All Internal & External Crawled URLs"
"Internal All","1508","99.67%","1513","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","1513","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","1513","All Internal Crawled URLs"
"Internal No Response","0","0.00%","1513","All Internal Crawled URLs"
