"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://vacationdeals.to/miami","1","Vacation Deals in Miami, FL","27","Indexable",""
"https://vacationdeals.to/south-florida","1","Vacation Deals in Miami, FL","27","Indexable",""
"https://vacationdeals.to/deals/capital-vacations-myrtle-beach-3-night-199","1","Resort Highlights — 4D/3N from $199","35","Indexable",""
"https://vacationdeals.to/deals/capital-vacations-orlando-3-night-931","1","Resort Highlights — 4D/3N from $199","35","Indexable",""
"https://vacationdeals.to/deals/wyndham-new-orleans-3-night-199","1","Resort Information — 4D/3N from $199","36","Indexable",""
"https://vacationdeals.to/deals/wyndham-atlanta-3-night-199","1","Resort Information — 4D/3N from $199","36","Indexable",""
"https://vacationdeals.to/deals/capital-vacations-south-florida-3-night-199","1","Resort Highlights — 4D/3N from $199","35","Indexable",""
"https://vacationdeals.to/holiday-inn","1","Holiday Inn Club Vacations","26","Indexable",""
"https://vacationdeals.to/holiday-inn-club-vacations","1","Holiday Inn Club Vacations","26","Indexable",""
"https://vacationdeals.to/hgv","1","Hilton Grand Vacations","22","Indexable",""
"https://vacationdeals.to/hilton-grand-vacations","1","Hilton Grand Vacations","22","Indexable",""
"https://vacationdeals.to/cancun","1","Vacation Deals in Cancun, Quintana Roo","38","Indexable",""
"https://vacationdeals.to/caribbean","1","Vacation Deals in Cancun, Quintana Roo","38","Indexable",""
