"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://vacationdeals.to/","text/html; charset=utf-8","200","OK","Indexable","","374+ Vacation Deals from $49 | VacationDeals.to","47","433","Vacation deals from 29 resort brands starting at $49. Compare 374+ resort deals and travel deals across 84+ destinations.","121","758","","0","The Best Vacation Deals from Top Resorts","40","Featured Deals","14","Popular Destinations","20","index, follow","","","","","","","","","175634","37529","37529","14.377","","1075","166","6.476","100.000","Very Easy","3.962","0","0","","3347","1599","0","100.000","92","53","0","0","0","0","","","","","959cb7728dda55c5dc3bbff019b0edfe","0.199","","","","","en","1.1","","","","","","https://vacationdeals.to/","2026-04-22 19:01:55"
"https://vacationdeals.to/hyatt","text/html; charset=utf-8","200","OK","Indexable","","Hyatt Vacation Club Vacation Deals from $100 | VacationDeals.to","63","575","9 Hyatt Vacation Club vacation deals from $100. Browse resort deals in Bonita Springs, Branson, Cabo San Lucas, Key West, and more.","131","831","","0","Hyatt Vacation Club","19","About Hyatt Vacation Club","25","Compare Other Vacation Deal Brands","34","index, follow","","","https://vacationdeals.to/hyatt","","","","","","158172","33751","33751","12.929","","1030","130","7.923","100.000","Very Easy","4.175","1","0","","45","45","0","2.810","99","66","0","0","0","0","","","","","bc0185074c06eade9b7bf13f415ca2","0.192","","","","","en","1.1","","","","","","https://vacationdeals.to/hyatt","2026-04-22 19:01:57"
"https://vacationdeals.to/resort-roulette","text/html; charset=utf-8","200","OK","Indexable","","Resort Roulette — Spin to Win a Random Vacation Deal | VacationDeals.to","71","648","Spin the wheel and discover a random vacation deal. Real scraped vacpacks from 40+ brands. Every spin reveals a new resort, destination, and price.","147","918","","0","Resort Roulette","15","How Resort Roulette Works","25","","0","index, follow","","","https://vacationdeals.to/resort-roulette","","","","","","95852","19434","19434","7.445","","535","53","10.094","100.000","Very Easy","3.760","1","0","","1601","1599","0","100.000","69","42","0","0","0","0","","","","","54c87d3f5b3525fbe1eefd4af6e3fdb8","0.454","","","","","en","1.1","","","","","","https://vacationdeals.to/resort-roulette","2026-04-22 19:01:57"
"https://vacationdeals.to/hgv","text/html; charset=utf-8","200","OK","Indexable","","Hilton Grand Vacations Vacation Deals | VacationDeals.to","56","507","Vacation deals from Hilton Grand Vacations. Compare resort deals, prices, and destinations. Vacation deals from Hilton Grand Vacations.","135","847","","0","Hilton Grand Vacations","22","About Hilton Grand Vacations","28","Frequently Asked Questions","26","index, follow","","","https://vacationdeals.to/hgv","","","","","","140832","32455","32455","12.433","","1137","135","8.422","89.430","Easy","5.552","1","0","","1739","1599","0","100.000","91","59","0","0","0","0","","","","","767ee9ba43e94fd08cf7bffba1e401de","0.454","","","","","en","1.1","","","","","","https://vacationdeals.to/hgv","2026-04-22 19:01:57"
"https://vacationdeals.to/marriott","text/html; charset=utf-8","200","OK","Indexable","","Marriott Vacation Club Vacation Deals from $299 | VacationDeals.to","66","599","9 Marriott Vacation Club vacation deals from $299. Browse resort deals in Florida, Las Vegas, Oahu, Orlando, and more.","118","735","","0","Marriott Vacation Club","22","About Marriott Vacation Club","28","Frequently Asked Questions","26","index, follow","","","https://vacationdeals.to/marriott","","","","","","187797","41799","41799","16.012","","1435","208","6.899","84.399","Easy","5.245","1","0","","1864","1599","0","100.000","99","67","0","0","0","0","","","","","4b97b2f1d2d0787afb1187d1100cc819","0.446","","","","","en","1.1","","","","","","https://vacationdeals.to/marriott","2026-04-22 19:01:57"
"https://vacationdeals.to/brands","text/html; charset=utf-8","200","OK","Indexable","","Vacation Deal Brands — 29 Brands, 374 Deals | VacationDeals.to","62","567","Vacation deals from 29 brands with 374 active resort deals. Browse deals from Westgate, Hilton Grand Vacations, Marriott, Wyndham, and more.","140","892","","0","Vacation Deal Brands","20","Westgate Reservations","21","Monster Reservations Group","26","index, follow","","","","","","","","","159102","34761","34761","13.316","","733","124","5.911","100.000","Very Easy","3.084","1","0","","3741","1599","0","100.000","98","68","0","0","0","0","","","","","20ee3b49f150cf20173b5813ad80d950","0.142","","","","","en","1.1","","","","","","https://vacationdeals.to/brands","2026-04-22 19:01:58"
"https://vacationdeals.to/williamsburg","text/html; charset=utf-8","200","OK","Indexable","","Williamsburg Vacation Deals from $79 (17 Deals) | VacationDeals.to","66","598","17 vacation deals in Williamsburg, VA from $79. Compare resort deals from top brands. Book premium resort stays.","112","715","","0","Vacation Deals in Williamsburg, VA","34","About Williamsburg Vacation Deals","33","Explore Other Vacation Deal Destinations","40","index, follow","","","https://vacationdeals.to/williamsburg","","","","","","235903","47416","47416","18.164","","1325","203","6.527","93.135","Very Easy","3.689","1","0","","778","706","0","44.150","131","97","0","0","0","0","","","","","bb0cf88bb0ceae48ae4af88cf6c5f00e","0.487","","","","","en","1.1","","","","","","https://vacationdeals.to/williamsburg","2026-04-22 19:01:57"
"https://vacationdeals.to/deals/westgate-branson-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","4 Days 3 Nights at Westgate Br Branson — 4D/3N from $59 | VacationDeals.to","74","685","Book a 3-night vacation deal at 4 Days 3 Nights at Westgate Branson Woods Resort in Branson, MO for just $59. Save 90% off the $589 retail price. Compare resort deals at VacationDeals.to.","187","1171","","0","4 Days 3 Nights at Westgate Branson Woods Resort","48","What's Included","15","Frequently Asked Questions About This Branson Deal","50","index, follow","","","https://vacationdeals.to/deals/westgate-branson-3-night-59","","","","","","162087","37851","37851","14.500","","1407","171","8.228","87.427","Easy","5.680","1","1","","3228","1590","0","99.440","76","44","0","1","1","0","","","","","97638fb30377f435343c0f73b992ee08","0.102","","","","","en","1.1","","","","","","https://vacationdeals.to/deals/westgate-branson-3-night-59","2026-04-22 19:01:58"
"https://vacationdeals.to/deals/westgate-events-branson-3-night-49.00","text/html; charset=utf-8","200","OK","Indexable","","Discount 2026 Westgate Branson Woods Resort Branson Vacat... | VacationDeals.to","79","742","Discount 2026 Westgate Branson Woods Resort Branson Vacation Package — A Weekend in Branson vacation package: Three-night stay at Branson Woods Resort + $100 visa gift card to spend during your stay + spacious accommodations in the ozark mountains. $49 per couple (90% off $499 retail). Compare event deals at VacationDeals.to.","327","2125","","0","Discount 2026 Westgate Branson Woods Resort Branson Vacation Package — A Weekend in Branson — 4D/3N from $49","108","About This Event Package","24","What's Included","15","index, follow","","","https://vacationdeals.to/deals/westgate-events-branson-3-night-49.00","","","","","","184195","42785","42785","16.390","","1513","191","7.921","84.783","Easy","5.444","1","1","","3228","1590","0","99.440","76","45","0","1","1","0","","","","","3432eab471dc8efa6a8e48d9b1b065d7","0.102","","","","","en","1.1","","","","","","https://vacationdeals.to/deals/westgate-events-branson-3-night-49.00","2026-04-22 19:01:58"
"https://vacationdeals.to/deals/westgate-orlando-2-night-59","text/html; charset=utf-8","200","OK","Indexable","","Facebook 3-Day/2-Night Orlando Orlando — 3D/2N from $59 | VacationDeals.to","74","697","Book a 2-night vacation deal at Facebook 3-Day/2-Night Orlando Resort Getaway from $59 in Orlando, FL for just $59. Save 85% off the $399 retail price. Compare resort deals at VacationDeals.to.","193","1204","","0","Facebook 3-Day/2-Night Orlando Resort Getaway from $59","54","About This Package","18","What's Included","15","index, follow","","","https://vacationdeals.to/deals/westgate-orlando-2-night-59","","","","","","161705","38795","38795","14.862","","1394","177","7.876","83.229","Easy","5.767","1","1","","3304","1590","0","99.440","76","42","0","1","1","0","","","","","9ecab735869c031ca0b0189b06a88e78","0.102","","","","","en","1.1","","","","","","https://vacationdeals.to/deals/westgate-orlando-2-night-59","2026-04-22 19:01:58"
